Usuario,Rating,Fecha,Descripcion,Local
Fabrizio Galota (Falu),1 estrella,Hace un año,"La atención y el lugar excelente, pero el sabor del helado, totalmente asqueroso. Bajo muchísimo la calidad, ni cremosidad tiene. La verdad una vergüenza. Desde el cambio de nombre, bajo mucho el sabor. Una lástima porque eran de los mejores.",Emilio Lamarca 3683
Lorena Borra,5 estrellas,Hace 3 años,"Son riquísimos. Buen cremosos!!
Tanto si lo querés llevar, como para disfrutarlos en el hermoso ambiente que tienen, tanto al aire libre, como adentro. No olvides llevar barbijos!!
En serio que no quedó nada!!",Emilio Lamarca 3683
Rocio Bulacio,5 estrellas,Hace 6 meses,"Hermoso lugar, riquisimo el helado pero lo mejor es la buena atención❤️",Emilio Lamarca 3683
Ricardo Kosak,4 estrellas,Hace 7 meses,Buen lugar. La atención bastante floja y el ambiente muy muy ruidoso. Las meriendas excelente,Emilio Lamarca 3683
Lucrecia Diaz,5 estrellas,Hace 4 meses,Muy rico el helado,Emilio Lamarca 3683
Sergio Maria Siggia,4 estrellas,2 semanas atrás,Es un lugar donde se puede apreciar una vasta gama de helados con un precio razonable. El ambiente es moderno y acogedor,Emilio Lamarca 3683
Pao G,4 estrellas,Hace un mes,"Muy amables quienes atienden.
Renovado el lugar.
Helado muy bueno mantiene la calidad",Emilio Lamarca 3683
Paula Monzón,5 estrellas,Hace 6 meses,Muy rico como siempre... y la atención d los chicos fue muy buena!,Emilio Lamarca 3683
Georgina Kahan,5 estrellas,Hace 3 meses,Cambio mucho desde que cambio el nombre. Muy buenas las propuestas de cafeteria,Emilio Lamarca 3683
Gabriela Avendano,5 estrellas,Hace 3 años,"Excelente atención calidad suprema !!!Amarena el mejor sabor!
Atienden delivery hasta las 23 hs",Emilio Lamarca 3683
gisela gimenez,5 estrellas,Hace 7 meses,"Lugar para volver infinitas veces... cada vez pruebo un nuevo sabor.
Barifruit pufff buenisimo.
Chocolates super frescos.",Emilio Lamarca 3683
Mariana Palomanes,5 estrellas,Hace 6 meses,la atención de los empleados del local Lamarca es inmejorable. Y el helado como siempre el mejor,Emilio Lamarca 3683
Gabriel Casorran,5 estrellas,Hace 9 meses,"Muy linda la renovación de la Heladería
Los Helados de los mejores y los chicos atendiendo muy bien
Para mi uno de los mejores helados de Cordoba y el precio está acorde",Emilio Lamarca 3683
Ermindo,1 estrella,Hace un año,"Desde que cambió la razón social y el personal, se fue a pique. El kilo a 4800. Caro s comparas con tortas excelentes de primera marca para doce personas. Pero encima te ponen menos de un kilo. De allí vengo hoy 9 de septiembre 11,45 No vuelvo más.",Emilio Lamarca 3683
Tomas Blansztein,3 estrellas,Hace un año,"Muy mala atención un cara de ort....... Bárbara , se ve que preparar copas no es de su agrado y para el colmo nosotros fuimos 3 parejas q pedimos copas, háganse ver por que uno va de piola a comer un helado y no se alcanzas a sentar q están…",Emilio Lamarca 3683
Franco Ball,5 estrellas,Hace un año,Muy buen helado y promociones con amigos,Emilio Lamarca 3683
Juana Galindez,1 estrella,Hace un año,"La verdad este lugar me sorprendió, su helado es muy rico pero las personas que trabajan hay son irrespetuosas. Hoy llamé para pedir un helado y me confundí de palabra y pensó que era una broma, me maltrato y me dijo que iba a mandar una…",Emilio Lamarca 3683
Paola Andrea Herrera,5 estrellas,Hace un año,Excelente atención. Riquísimos sabores Bellísimo lugar ❤,Emilio Lamarca 3683
Bray Vela,5 estrellas,Hace 11 meses,"Muy lindo lugar para disfrutar de un rico helado, mi lugar preferido para ir después de una larga jornada de trabajo.",Emilio Lamarca 3683
Leonardo Mealla,5 estrellas,Hace 3 años,Riquísimos los helados y excelente atención de sus empleados,Emilio Lamarca 3683
belen Juarez,5 estrellas,Hace 5 años,"Muy lindo. La nueva promo de dos copas por $200 es buena igual q las distintas opciones que hay de estas. Esta es la opción ""Bariloche""",Emilio Lamarca 3683
franco gerlero,4 estrellas,Hace un año,"Ha bajado la calidad de los helados desde que cambió de nombre y de estética, en contrapartida con la comodidad y hambiente que están mejorados. Aún así sigue siendo una muy buena opción de helados a precio razonable.",Emilio Lamarca 3683
Anita Sticca,2 estrellas,Hace un año,"Excelente atención, y el lugar muy limpio. Pero bajo estrellas por dejar de ofrecer sabores que tenían como amarena (que en otras heladerías, no hay, no tienen competencia). Comprendo el cambio de nombre de la empresa y el nuevo perfil a…",Emilio Lamarca 3683
MARIA CARINA Godoy,5 estrellas,Hace un año,"El pinito se merece aplausos, una literal escultura, delicioso. El espacio abierto con gradas y vegetación general un espacio hermoso. Súper recomendable",Emilio Lamarca 3683
Josefina Di Falco Perez,4 estrellas,Hace 3 años,Para deleitarse en el local o pedir delivery para maratonear 📺…,Emilio Lamarca 3683
Norberto Gomes,5 estrellas,Hace 10 meses,Ricos helados. Muy buena relación calidad /precio.  Para helados baratos... Hay otros lugares.,Emilio Lamarca 3683
Tomas Martinez Casas,5 estrellas,Hace 4 días,De los mejores helados de Córdoba,Emilio Lamarca 3683
Martin Lucaras,5 estrellas,Hace 3 meses,Es un lindo lugar para tomar un rico helado. Los chicos que atienden son muy profesionales,Emilio Lamarca 3683
Hector Biasutti Monerris,4 estrellas,Hace un año,"Excelente atención desde que uno entra, los helados muy buenos!",Emilio Lamarca 3683
Graciela Gómez,5 estrellas,Hace 3 meses,Estos helados son lo Masssss,Emilio Lamarca 3683
Sergio Marruco,5 estrellas,Hace 3 años,"Muy buen lugar, para disfrutar un riquicimo helado, fuimos con la familia, a media tarde, del 26/02, con el servicio hay que tener un poquito de paciencia,  hay mucha gente, pero, muy bien atendidos, tienes muchas opciones de sabor y precio…",Emilio Lamarca 3683
josefina cerqueti,5 estrellas,Hace un año,"Buenos los productos  como siempre,  mantienen la calidad, la atención muy buena y el ambiente ahora que han hecho el cambio de imagen quedo todo muy lindo.",Emilio Lamarca 3683
Belén Fecchio,5 estrellas,Hace 6 meses,El mejor helado de todo Córdoba! Su cremosidad es increíble,Emilio Lamarca 3683
Maxi Toselli,5 estrellas,Hace 11 meses,Ricos helados a buenos precios la ubicacion es muy cómoda para ir en auto lugar de sobra para estacionar.,Emilio Lamarca 3683
Susana Tealdi,5 estrellas,Hace 2 meses,Riquísimos helados con buenas promociones y excelente atención,Emilio Lamarca 3683
Mariano Gonzalez,4 estrellas,Hace 4 años,"Excelentes sabores, rapidez, buena atención, y precios a la medida de la calidad del producto",Emilio Lamarca 3683
Leonardo Diaz,5 estrellas,Hace 3 meses,Muy buen helado,Emilio Lamarca 3683
David Espinosa Zalazar,5 estrellas,Hace 2 años,"El lugar siempre fue y será excelente, la atención excelente, súper educados los empleados. El helado sin duda es uno de los mejores en Córdoba. Ahora la cafetería bien modesta por ahora poca cartelería pero les tengo mucha fe. 100% recomendable",Emilio Lamarca 3683
Felipe Beato,5 estrellas,Hace 4 meses,Muy buen producto,Emilio Lamarca 3683
Franco FM,5 estrellas,Hace un año,"De lo mejorcito en heladeria, para mi sorpresa precios bajos, el espacio es lindo y agradable pata ir en familia, por la zona donde se encuentra limita la llegada de publico no deseado , de esos van con 10 críos y andan todos gritando y trepados arriba de la mesa como pasa en la Grid...",Emilio Lamarca 3683
Sebastian Urcelay,5 estrellas,Hace un año,"Muy buenos los helados como siempre, los que atienden amables y desde que cambio el nombre esta mucha más linda la heladería.",Emilio Lamarca 3683
Leonardo Antonello,5 estrellas,Hace un año,"Muy lindo lugar, siempre renovado y moderno. Excelente atención y helados espectaculares.",Emilio Lamarca 3683
