Usuario,Rating,Fecha,Descripcion,Local
LUCIO,5 estrellas,Hace un año,"Conserva, aún, la imagen de 100pre, y a pesar de q ya le llegará el cambio de imagen no cambiará su excelente calidad,  gente amable y con experiencia del otro lado del mostrador,  heladeros de 100pre pedí un pinito tranquilo q lo hacen perfecto.","Av Ramon Menendez Pidal 3598, Urca"
Leandro Cuda,5 estrellas,Hace un año,"Muy buenos helados, precio y calidad","Av Ramon Menendez Pidal 3598, Urca"
Andres Lorenzon,5 estrellas,Hace 3 años,"Es buen helado, no cambió sus sabores nunca, y muy buena relación precio calidad. Es uno de los pocos tradicionales de Córdoba q perdura en el tiempo.","Av Ramon Menendez Pidal 3598, Urca"
Martina Alave,4 estrellas,Hace un año,"Mucha variedad de sabores de helados y riquísimos, buena onda con la atención e impecable","Av Ramon Menendez Pidal 3598, Urca"
Ale Endrek,5 estrellas,Hace un año,Ricos helados y muy buena atención. Mantienen relación precio calidad,"Av Ramon Menendez Pidal 3598, Urca"
Victor Fazzola,5 estrellas,Hace un año,"Muy buen producto, pero no apto para todos los bolsillos teniendo en cuenta que solo es helado..","Av Ramon Menendez Pidal 3598, Urca"
Erica Perez Giraudi,5 estrellas,Hace un año,"Los mejores helados!!! Y el encargado (o cajero) siempre con la mejor atención, super amable.","Av Ramon Menendez Pidal 3598, Urca"
Jf S,5 estrellas,Hace un año,"Sin dudas uno de los mejores helados del país. El precio puede parecer elevado, pero cada peso lo vale.","Av Ramon Menendez Pidal 3598, Urca"
Pachi Bntz,2 estrellas,Hace 2 años,"Precio de los helados bastante caro para la calidad dos bochas 600 pesos,no es el helado que era antes no se si cambio o no, hemos comido varias veces pero no nos agrado el sabor a leche fuerte que tiene,mucho para mejorar!!!","Av Ramon Menendez Pidal 3598, Urca"
Emil Layun,5 estrellas,Hace 5 años,Los precios son un poco altos pero para lo que son los helados está bien a mi gusto buena atención siempre varidad de sabores linda vista lindo lugar al lado del super y para estar un ratito y es rapido,"Av Ramon Menendez Pidal 3598, Urca"
Sebastian Gustavo Orecchia,5 estrellas,Hace un año,"Uno de los mejores helados de Cordoba, me gustan mucho sus sabores","Av Ramon Menendez Pidal 3598, Urca"
Maria Eugenia Sicar,5 estrellas,Hace 7 años,Exquisitos helados,"Av Ramon Menendez Pidal 3598, Urca"
natalia herrera,5 estrellas,Hace 3 años,"He probado variedad de helados pero los sigo eligiendo!! El equipo que atiende, siempre con buena onda!! Sigan así!!","Av Ramon Menendez Pidal 3598, Urca"
Paulina Fava,5 estrellas,Hace 6 años,"Unos de los mejores helados de Córdoba sin dudas! Además el lugar muy limpio, excelente atención. Muy recomendable!!","Av Ramon Menendez Pidal 3598, Urca"
Adri Della Puppa,5 estrellas,Hace 6 años,"A mi gusto, el mejor helado de Córdoba. El helado es cremoso y los sabores son exquisitos. El precio es acorde a la buena calidad del helado.","Av Ramon Menendez Pidal 3598, Urca"
Carolina Coppolillo,5 estrellas,Hace 2 años,Muy amable la atención y riquísimos los helados!,"Av Ramon Menendez Pidal 3598, Urca"
Guillermina Figueroa,2 estrellas,Hace 5 años,"La verdad  el Helado es riquísimo, y vamos seguido pero anoche fuimos y nos atendieron muy mal demorsdisimos una sola chica atendiendo todo, tuvo que decirle a toda la gente, algunos que se vayan porque no los podia atender...deben de tener mas gente es mucha la demanda y el producto es caro para no tener mas personal!!! Sucursal de Urca","Av Ramon Menendez Pidal 3598, Urca"
Francisco Diez,5 estrellas,Hace un año,Muy ricos los helados espectaculares tramontana de los mejores,"Av Ramon Menendez Pidal 3598, Urca"
Mílorad Margetic,5 estrellas,Hace 7 años,Bariloche siempre fue sinónimo de excelente helado. Muy a la altura de grandes marcas y sin excesivos precios comparados a la competencia. El Dulce de Leche Tentación se va de tema.,"Av Ramon Menendez Pidal 3598, Urca"
Lucio Grinspan,5 estrellas,Hace 2 años,Muy buena atención y sabores bien logrados. Un clásico de los helados de Córdoba,"Av Ramon Menendez Pidal 3598, Urca"
Ana Maria Vazquez,4 estrellas,Hace 5 años,"Buena atención y un lindo lugar para pasar el rato al aire libre. Muy ricos los helados, solo que algo caros, por eso 4 estrellas","Av Ramon Menendez Pidal 3598, Urca"
Juan Pablo esteban,4 estrellas,Hace 5 años,Muy buen helado!! Sin el 2 por 1 muy caro. Después de tantos años deberían sincerar los precios. Evidentemente la estrategia de marketing les funcionará...,"Av Ramon Menendez Pidal 3598, Urca"
Adriana Neme,5 estrellas,Hace 2 años,"Helados riquísimos, muy buena atención, local impecable, súper recomendable!","Av Ramon Menendez Pidal 3598, Urca"
Pablo Guglieri,4 estrellas,Hace un año,El helado muy rico podrian mejorar un poco el baño y seria muy lindo todo,"Av Ramon Menendez Pidal 3598, Urca"
Nay Hadad,5 estrellas,Hace 11 meses,Excelente atención de los 2 chicos que están trabajando hoy. Realmente merecen una mención especial,"Av Ramon Menendez Pidal 3598, Urca"
Nahuel Grasso,5 estrellas,Hace 5 años,Algo caro! Con un 2x1 que no es tal en cuanto a precio. Pero es sin dudas el mejor helado. Recomendación: dulce de leche tentación!,"Av Ramon Menendez Pidal 3598, Urca"
paula piuma,5 estrellas,Hace 5 años,"Riquisimos los helados!! Tiene un aire acondicionado muy grande, super agradable. Y afuera unas mesas, con sombrillas. Muy limpio! Siempre impecable! La atencion muy buena","Av Ramon Menendez Pidal 3598, Urca"
Daniela Oyola,5 estrellas,Hace 4 meses,La mejor atención de todas las sucursales,"Av Ramon Menendez Pidal 3598, Urca"
Analia Bazan,2 estrellas,Hace 6 años,El helado es lo mejor ...la atención deja mucho que desear para ponerme 1kg de helado donde yo pago medio kg y me tienen que dar 1kg por que asi es la promo.... me queria cobrar 10 pesos el envase de telgopor por que le pedi separamelo en 2…,"Av Ramon Menendez Pidal 3598, Urca"
Ricardo Novo,5 estrellas,Hace 3 años,Excelente calidad de sus helados. Precio razonable y muy buena atención.,"Av Ramon Menendez Pidal 3598, Urca"
Recio Antonio,4 estrellas,Hace un año,buenos productos... depende quien te atienda  buena atención ... Recomendable el chocolate caliente,"Av Ramon Menendez Pidal 3598, Urca"
Miriam Giménez,4 estrellas,Hace 8 meses,Necesita más empleados Los chicos son excelentes pero no alcanzan en feriados y horarios pico,"Av Ramon Menendez Pidal 3598, Urca"
Marina,1 estrella,Hace 5 años,"La noche de los helados....una estafa!!!
Compré el 1/2 kg a 240 ...según ellos tiene el 50% de descuento...ya que no sería acumulable con los 2×1 que ellos tienen....con un precio de 860 el kg...una burla. No vuelvo nunca más","Av Ramon Menendez Pidal 3598, Urca"
sekapanga,4 estrellas,Hace 11 meses,"La heladería más tranquila de Córdoba, la atención podría mejorar","Av Ramon Menendez Pidal 3598, Urca"
Luciano Sánchez,4 estrellas,Hace 3 años,La atención excelente. El local impecable. El helado riquísimo. El detalle: no tiene juegos para niños y el baño no tiene cambiador para bebés.,"Av Ramon Menendez Pidal 3598, Urca"
Gabriela Poletto,4 estrellas,Hace 3 años,Muy lindo lugar...el helado exquisito y el local esta muy bien puesto...una de las mejores heladerías de Urca...cerro,"Av Ramon Menendez Pidal 3598, Urca"
Gregorio González,5 estrellas,Hace 7 años,"Muy rico el helado y buena atención
Además ahora tienen dos por uno que suma mucho","Av Ramon Menendez Pidal 3598, Urca"
Mario Picco,3 estrellas,Hace 3 años,"bien, ricos helados, pero marcas jóvenes le están sacando mucha ventaja en relación al sabor del helado. Ojalá se pongan a la altura","Av Ramon Menendez Pidal 3598, Urca"
Sergio Maria Siggia,4 estrellas,Hace 7 años,"Atención buena, helados muy ricos con muchas variedades ...","Av Ramon Menendez Pidal 3598, Urca"
Elsa Artesi,5 estrellas,Hace 4 años,"Muy confortable el lugar, correcta atención.Muy bien implementado los cuidados a tener por la pandemia.Y qué decir de los helados! Exquisitos!","Av Ramon Menendez Pidal 3598, Urca"
irina erna aput,5 estrellas,Hace 3 años,Amo los helados de Bariloche. El almendrado sobre todo. El local siempre esta impecable y la atencion es cordial.,"Av Ramon Menendez Pidal 3598, Urca"
Jorge Ondarçuhu,5 estrellas,Hace un año,Buen lugar para disfrutar de un buen helado,"Av Ramon Menendez Pidal 3598, Urca"
Diego Cabrera Fotografia,5 estrellas,Hace 2 años,Recomendado Atención y Helado,"Av Ramon Menendez Pidal 3598, Urca"
Hector Dario Barros,5 estrellas,Hace 4 años,"Lindo lugar para tomar un delicioso helado, mesas con sillas muy cómodas con formato muy decorativo y en muy buen estado y limpio. Super recomendable","Av Ramon Menendez Pidal 3598, Urca"
Jaime Sanchez,5 estrellas,Hace 2 años,Muy buena atencion y calidad de cremas heladas. No se pierdan el tiramisu,"Av Ramon Menendez Pidal 3598, Urca"
Marcelo Martinelli,3 estrellas,Hace 5 años,"El helado es muy rico buena calidad, el local se quedo en el tiempo...viejisimo no lo modernizaron nunca...ni el jardin ....una pena","Av Ramon Menendez Pidal 3598, Urca"
Gimena Riso,4 estrellas,Hace 2 años,Muy buenos helados y el local hermoso.,"Av Ramon Menendez Pidal 3598, Urca"
Karina Cortes,5 estrellas,Hace 6 años,Exelente calidad riquisimos los helados y buena atencion,"Av Ramon Menendez Pidal 3598, Urca"
Marcelo Mangiucca,5 estrellas,Hace 2 años,"Excelente atencion y muy ricos helados, impresionante el surtido","Av Ramon Menendez Pidal 3598, Urca"
Marcela Sosa,5 estrellas,Hace 10 meses,Los mejores helados y la mejor atención,"Av Ramon Menendez Pidal 3598, Urca"
Benja Sayago,5 estrellas,Hace 7 años,"Hay buena variedad de helados (sabores, tipos, salsas) y de buena calidad. Muy recomendable para venir a pasar una tarde calurosa","Av Ramon Menendez Pidal 3598, Urca"
Wampiren Darkdub,5 estrellas,Hace 10 meses,"Gran variedad de sabores, el sambayon de los mejores que probé.","Av Ramon Menendez Pidal 3598, Urca"
Franco Fernandez,5 estrellas,Hace 6 años,"Saliendo de los helados que son maravillosos, y muchos los saben.... Afuera tienen unos bancos plásticos con mesa que son muy muy cómodos! Y la zona es re tranquila","Av Ramon Menendez Pidal 3598, Urca"
Claudio Carreño,4 estrellas,Hace 2 años,Muy buena relación de uno de los mejores helados de córdoba con el precio,"Av Ramon Menendez Pidal 3598, Urca"
lili sch,5 estrellas,Hace 3 años,"Creo que son los helados más ricos. Y te atienden muy bien, creo que por eso siempre hay gente comprando sus helados","Av Ramon Menendez Pidal 3598, Urca"
Cristian Coronel,5 estrellas,Hace 7 años,Muy buena atencios la mejor onda y son riquísimos los helados,"Av Ramon Menendez Pidal 3598, Urca"
oparavano,3 estrellas,Hace 3 años,Básico el establecimiento..el helado muy bueno,"Av Ramon Menendez Pidal 3598, Urca"
Damian,5 estrellas,Hace 7 años,Muy rica la crema helada! Lindo lugar y entorno para tomar un helado una noche de verano al aire libre,"Av Ramon Menendez Pidal 3598, Urca"
Fabian Montoya,5 estrellas,Hace 2 años,"Unos de los mejores de córdoba,  dulce de leche tentación es Riquísimo!!
Muy buena atención","Av Ramon Menendez Pidal 3598, Urca"
Fanny,4 estrellas,Hace 5 años,"Me encanta el lugar, y los productos, ayer sábado fuimos, cerca de las 15,30hs, había bastante gente y una sola empleada, muy amable y ágil, pero poco para un sábado.","Av Ramon Menendez Pidal 3598, Urca"
sabrina ppt,5 estrellas,Hace 5 años,Muy buena calidad de helados..lo recomiendo,"Av Ramon Menendez Pidal 3598, Urca"
Lili Monaji,5 estrellas,Hace 6 años,El mejor helado de Córdoba. Entre los mejores de toda Argentina. Limpieza y excelente atención. También buen café.,"Av Ramon Menendez Pidal 3598, Urca"
Marianela Alberto,5 estrellas,Hace 3 años,"Muy bueno, para pasar un momento y disfrutar de un buen helado, rico, cremoso. 😊…","Av Ramon Menendez Pidal 3598, Urca"
Salvador Viale,5 estrellas,Hace 3 años,Excelente atención desde siempre. Tremendos helados. Un clásico siempre vigente,"Av Ramon Menendez Pidal 3598, Urca"
Sebastian Martinez,5 estrellas,Hace 2 años,"Muy buen helado, bien cremoso y de muy buena calidad","Av Ramon Menendez Pidal 3598, Urca"
Faby,4 estrellas,Hace 3 años,Unas de las mejores cremas heladas! gran variedad de sabores y muy buena atención.,"Av Ramon Menendez Pidal 3598, Urca"
Cesar Gabriel Paris,4 estrellas,Hace 7 años,Muy bueno el helado y su atención,"Av Ramon Menendez Pidal 3598, Urca"
Walter Bovina,5 estrellas,Hace 3 años,Excelente  helado sigan así por favor  .A no descuidar la calidad en estos  tiempos,"Av Ramon Menendez Pidal 3598, Urca"
Maria de los Angeles Córdoba,4 estrellas,Hace 6 años,Muy rico helado pero deberían mejorar la calidad para que sea un helado excelente,"Av Ramon Menendez Pidal 3598, Urca"
Dardo Einar Mochi,5 estrellas,Hace 5 años,"Muy rico!!!! Prueben la frutilla nevada!😜
Los encargados son muy amables y atentos.
Recomendable para ir a pasar el rato en familia o en pareja.…","Av Ramon Menendez Pidal 3598, Urca"
Alan Bender,5 estrellas,Hace 5 años,Los mejores helados de Córdoba por lejos Hay varias promos 2x1 tambien se puede tomar café en en lugar,"Av Ramon Menendez Pidal 3598, Urca"
Jorgelina Fernandez (Lole),5 estrellas,Hace 3 años,Adoro esos helados ! Es una heladería muy linda y espaciosa.,"Av Ramon Menendez Pidal 3598, Urca"
Ariel Carreras,5 estrellas,Hace 2 años,"Qué helados más rico!!! Excelente calidad, precio.","Av Ramon Menendez Pidal 3598, Urca"
Cristina Silva,5 estrellas,Hace 3 años,Muy buena atención!!! Limpieza y calidad de helados x supuesto. Cómo es Bariloche siempre!!!,"Av Ramon Menendez Pidal 3598, Urca"
Eleo Ferrari,5 estrellas,Hace 7 años,"Exlente helado, cremoso, sabroso, y los precios adecuados al producto. Muy buenas promociones 2x1 siempre.","Av Ramon Menendez Pidal 3598, Urca"
Celina Grisel Furbatto,5 estrellas,Hace 7 años,Muy bueno los helados,"Av Ramon Menendez Pidal 3598, Urca"
Ignacio Colazo,5 estrellas,Hace 3 años,"A los helados se les siente mucho la fruta , hay 2x1 en cucurucho y potes de helado , super recomendable para ir en pareja sobre todo","Av Ramon Menendez Pidal 3598, Urca"
Mauro Lazcano,4 estrellas,Hace 7 años,Excelente local. Helados bien cremosos. Muy recomendable.,"Av Ramon Menendez Pidal 3598, Urca"
Anahi Astorga,4 estrellas,Hace 3 años,Buena atención pero no hay tantas variedades de helado cómo en otras sucursales,"Av Ramon Menendez Pidal 3598, Urca"
Lucia Debat,5 estrellas,Hace 8 años,Los más ricos helados y buen precio  Excelente atención,"Av Ramon Menendez Pidal 3598, Urca"
Sergio Villarragut,5 estrellas,Hace 7 años,Muy buena calidad de helados,"Av Ramon Menendez Pidal 3598, Urca"
Rodrigo Arias,5 estrellas,Hace 6 años,"Diría que es una de las heladerías con más variedad de gustos y excelente calidad. Precios super buenos, comprando personalmente.","Av Ramon Menendez Pidal 3598, Urca"
Patricia Degliuomini,5 estrellas,Hace 3 años,Muy ricos los helados y la atención de 10,"Av Ramon Menendez Pidal 3598, Urca"
Markos Ledesma,4 estrellas,Hace 4 años,"Calidad superior a las marcas comunes, bastante más caro que dichas marcas. El baño de chocolate es excelente y muy rico.","Av Ramon Menendez Pidal 3598, Urca"
Luxury_BA,3 estrellas,Hace 4 años,"Buena opción por la zona, algo caro, en Bs As.se come mejor helado por ese precio.","Av Ramon Menendez Pidal 3598, Urca"
David Alejandro Murúa,4 estrellas,Hace 3 años,"Excelente atención, espacio suficiente para disfrutar de ricos helados.","Av Ramon Menendez Pidal 3598, Urca"
Daniel Patri,4 estrellas,Hace 8 años,"uno de los mejores helados de cba, muy buena ubicación, caro pero muy bueno","Av Ramon Menendez Pidal 3598, Urca"
alejandro rodriguez,5 estrellas,Hace 5 años,Muy buena atención y riquisimos helados,"Av Ramon Menendez Pidal 3598, Urca"
Marcelo Karqui,5 estrellas,Hace 4 años,"Muy buén helado !
Atencion exelente.","Av Ramon Menendez Pidal 3598, Urca"
Luis Pacheco,5 estrellas,Hace un año,"no se puede esperar más, la noche, complicada 00.25 con 29° muy lindo lugar","Av Ramon Menendez Pidal 3598, Urca"
Pablo Muzzolon,5 estrellas,Hace 5 años,Muy bien atendido y muy buenos los helados el dulce de leche es buenisimo..👏👏…,"Av Ramon Menendez Pidal 3598, Urca"
Mariela Zanetta Magi,4 estrellas,Hace 7 años,"Excelente relación precio calidad, siempre tienen promociones 2x1 y en las fiestas algunas sorpresas, y la atención de los empleados suele ser excelente","Av Ramon Menendez Pidal 3598, Urca"
Waldemar von Hof,5 estrellas,Hace un año,Muy buena la atención y muy bueno el helado...,"Av Ramon Menendez Pidal 3598, Urca"
Samuel Rojas,5 estrellas,Hace 7 años,Buen lugar buenos justos de helados buena atención,"Av Ramon Menendez Pidal 3598, Urca"
Gonzalo Torres,5 estrellas,Hace 8 años,Excelente helado calidad y precio.. Siempre vuelvo a comprar,"Av Ramon Menendez Pidal 3598, Urca"
Pato Scherman,4 estrellas,Hace 6 años,"Muy buena heladería cordobesa. Se ha expandido sin perder la calidad.  Buenas promos, solo efectivo","Av Ramon Menendez Pidal 3598, Urca"
Marta Angeloni,4 estrellas,Hace 6 años,Excelente helados y café muy buena atención y limpieza,"Av Ramon Menendez Pidal 3598, Urca"
Paula,4 estrellas,Hace 7 meses,Ricos los gustos pero no mucha variedad,"Av Ramon Menendez Pidal 3598, Urca"
Luna Luana López,5 estrellas,Hace 3 años,Los helados son riquisimos! Muy cremosos. Valen la pena.,"Av Ramon Menendez Pidal 3598, Urca"
dolores Perlan,5 estrellas,Hace un año,Excelente lugar y calidad de los helados!!!!. Los recomiendo!!!,"Av Ramon Menendez Pidal 3598, Urca"
Tomas Morales,5 estrellas,Hace 5 años,"Muy buenos helados, buena relación calidad/precio","Av Ramon Menendez Pidal 3598, Urca"
Fernando Craievich,4 estrellas,Hace 7 años,Muy buen helado salvo algunos de los que atienden,"Av Ramon Menendez Pidal 3598, Urca"
Darío Alejandro Aragonés Broudeur,5 estrellas,Hace 5 años,Uno de los mejores helados de córdoba para mi gusto...y soy amante del helado,"Av Ramon Menendez Pidal 3598, Urca"
Claudio Guadalupe,3 estrellas,Hace 4 años,"Una sola chica atendiendo, me dio mucha pena el esfuerzo que hacía para que no se amontone la clientela ya que atendía la caja y servía los helados!","Av Ramon Menendez Pidal 3598, Urca"
Natalia Herrero,5 estrellas,Hace un año,Me encanto el helado,"Av Ramon Menendez Pidal 3598, Urca"
Cande Isaia,5 estrellas,Hace 3 años,Los mejores helados de Córdoba,"Av Ramon Menendez Pidal 3598, Urca"
mauricio burckwardt,5 estrellas,Hace 5 años,Muy limpio. Atención muy buena. Helados cremosos como ninguno,"Av Ramon Menendez Pidal 3598, Urca"
Ivan Grabois,4 estrellas,Hace 3 años,El helado de dulce de leche es lo más!! Muy buenos helados de crema.,"Av Ramon Menendez Pidal 3598, Urca"
Pablo Pablo,4 estrellas,Hace 5 años,Tremendo los helados..el dulce de leche es muy bueno,"Av Ramon Menendez Pidal 3598, Urca"
Agus Copello,5 estrellas,Hace 7 años,De los mejores helados de la cuidad. Eliminaría la promo 2x1 que a esta altura no hace mucho sentido.,"Av Ramon Menendez Pidal 3598, Urca"
flavia marcela fausti,5 estrellas,Hace 5 años,Muy buena y rápida atención. Excelentes las cremas heladas,"Av Ramon Menendez Pidal 3598, Urca"
Carina Torrico,5 estrellas,Hace 5 años,No hay mas estrellas sinó se llegan 1000 ..el mejor vinimos desde Buenos Aires x su Barifruit!!!,"Av Ramon Menendez Pidal 3598, Urca"
Elba Bria,5 estrellas,Hace 5 años,"Muy ricos helados, y todo bien con la promo 2x1","Av Ramon Menendez Pidal 3598, Urca"
Carlos Ferrari,5 estrellas,Hace 7 años,Muy buena heladería excelente atención.muy buenas promociones,"Av Ramon Menendez Pidal 3598, Urca"
Héctor Oviedo,4 estrellas,Hace 7 años,Muy buenos helados y postres,"Av Ramon Menendez Pidal 3598, Urca"
MURCY,4 estrellas,Hace 4 años,"De los mejores helados de Córdoba, solo le falta mejorr los helados de agua. Saludos","Av Ramon Menendez Pidal 3598, Urca"
Diego Rozada,4 estrellas,Hace 7 años,Muy bueno el helado y tranquilo,"Av Ramon Menendez Pidal 3598, Urca"
Namaste Namaste,5 estrellas,Hace 5 años,Los mejores helados de Córdoba. No importa el precio. SÍ importa la CALIDAD.,"Av Ramon Menendez Pidal 3598, Urca"
Adriana Zapico,4 estrellas,Hace 7 años,"Muy ricos helados, un poco caros","Av Ramon Menendez Pidal 3598, Urca"
Tomas Eguia,5 estrellas,Hace 2 años,Muy rico y bien atendido! 👏🏽…,"Av Ramon Menendez Pidal 3598, Urca"
Mario Cravero,4 estrellas,Hace 7 años,Muy buenos helados,"Av Ramon Menendez Pidal 3598, Urca"
Marcelo Voitina,5 estrellas,Hace un año,muy rico y tranquilo.,"Av Ramon Menendez Pidal 3598, Urca"
Joan Munsters,4 estrellas,Hace 2 años,"Muy buenos helados sabrosos y de muchos sabores.
bienvenida muy amable
Pequeña terraza exterior con cómodas sillas.","Av Ramon Menendez Pidal 3598, Urca"
Daniel Suarez,5 estrellas,Hace 5 años,Uno de los mejores lugares de helados en Villa María.,"Av Ramon Menendez Pidal 3598, Urca"
Daniel Ampuero,5 estrellas,Hace 4 años,None,"Av Ramon Menendez Pidal 3598, Urca"
Junior Medeiros,3 estrellas,Hace 7 años,Sabores muy dulces,"Av Ramon Menendez Pidal 3598, Urca"
Gabriel Peruzzi,3 estrellas,Hace un año,Meh,"Av Ramon Menendez Pidal 3598, Urca"
Guillermo Doppler,4 estrellas,Hace 8 años,Elegante,"Av Ramon Menendez Pidal 3598, Urca"
Raul Saavedra,5 estrellas,Hace 6 años,Rika,"Av Ramon Menendez Pidal 3598, Urca"
Martin Lalanne,5 estrellas,Hace 7 años,Mascarpone 😍…,"Av Ramon Menendez Pidal 3598, Urca"
Matías Molinari,5 estrellas,2 semanas atrás,None,"Av Ramon Menendez Pidal 3598, Urca"
Monica Badino Martinez,5 estrellas,3 semanas atrás,None,"Av Ramon Menendez Pidal 3598, Urca"
Claudio Companys,5 estrellas,3 semanas atrás,None,"Av Ramon Menendez Pidal 3598, Urca"
Gabriel Baronetto,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
german awad-risk,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Manuel Ignacio Fernandez,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Adolfo Tortone,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
HORACIO MANUEL KANTOR,4 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
jes coppa,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Dafne Saffadi,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Gonzalo Osella,4 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Cecilia Maria Fernández,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Victor Ballatore,4 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Meli Brocal,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Karina Aejandra Castro,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Pedro Pereyra,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
Valeria Valdivia,5 estrellas,Hace un mes,None,"Av Ramon Menendez Pidal 3598, Urca"
maria laura,5 estrellas,Hace 2 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Ricardo M,5 estrellas,Hace 2 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Patricia Guardia Penfold,5 estrellas,Hace 2 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Vanesa De Giovanni,5 estrellas,Hace 2 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Marcos Bima,4 estrellas,Hace 2 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Regina Zurro,5 estrellas,Hace 2 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
gaston navarra,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Cristian Ganame,4 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Sebastian Pedemonte,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Ivanna Sabattini,4 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Leonardo Diaz,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Daniel Baratz,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Angel Torres,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Laura Luque,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Ivana Judith Caneiro,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Guille Fuenzalida,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Maria Ester Pacha,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Gustavo Nozy,5 estrellas,Hace 3 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Gabriel Abdala,4 estrellas,Hace 4 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Martin Blume,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Gabriel De Vita,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
NeoGrafix,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Emilse Pons,4 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Javier Avanthay,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Horacio Rodriguez,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Noelia Centurión,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Gloria Olmos,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Nestor Olivares,5 estrellas,Hace 5 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Lucas Matias Rubio,4 estrellas,Hace 6 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Diego Morillo,5 estrellas,Hace 6 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Eze Colombino,4 estrellas,Hace 7 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Dulce Picco,5 estrellas,Hace 8 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Mac Marfm,5 estrellas,Hace 8 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Ignacio Gonzalez,4 estrellas,Hace 8 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
beatriz de bernardi,4 estrellas,Hace 8 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
liliana del valle herrera,5 estrellas,Hace 8 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Josefina Ciocca,5 estrellas,Hace 8 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
isaac paz,3 estrellas,Hace 9 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Cecilia Irene Piergiovanni,4 estrellas,Hace 9 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Thomas Gonzalez,5 estrellas,Hace 10 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Cintia Martinez,5 estrellas,Hace 10 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Tysiana Llampa,5 estrellas,Hace 10 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
Guillermo Alvarez Igarzabal,5 estrellas,Hace 10 meses,None,"Av Ramon Menendez Pidal 3598, Urca"
